,id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,id_parcelle,lot1_numero,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,surface_terrain,longitude,latitude
570750,2020-232802,2020-08-12,1,Vente,156500.0,24.0,CHE DE L'HOM,0455,30120.0,30350,Le Vigan,30,303500000A0720,2,1,2.0,Appartement,95.0,5.0,S,sols,537.0,3.608521,43.994424
1812860,2020-766552,2020-10-08,1,Vente,487000.0,3.0,RUE CHARLES MEUNIER,0140,77210.0,77014,Avon,77,770140000A1310,104.0,1,2.0,Appartement,133.0,4.0,AG,terrains d'agrément,79.0,2.722483,48.414312
2004644,2020-853794,2020-10-02,1,Vente,2755710.0,32.0,RTE DES CIGALES,0239,83230.0,83019,Bormes-les-Mimosas,83,83019000BO0032,1.0,1,1.0,Maison,190.0,7.0,AG,terrains d'agrément,2000.0,6.357159,43.097769
768126,2020-318715,2020-11-27,1,Vente,274841.0,2.0,RUE DU PICPOUL,1762,34300.0,34003,Agde,34,34003000KL0036,103.0,1,2.0,Appartement,44.0,3.0,AG,terrains d'agrément,120.0,3.511026,43.292933
1465509,2020-614734,2020-12-11,1,Vente,173000.0,5.0,PAS DES BOCQUILLONS,0077,60600.0,60157,Clermont,60,60157000AI0313,2.0,1,1.0,Maison,90.0,5.0,S,sols,146.0,2.409911,49.371235
138997,2020-61674,2020-02-27,1,Vente,383000.0,7.0,CHE DES GROS BUAUX,1520,6800.0,6027,Cagnes-sur-Mer,6,06027000AV0028,11.0,1,1.0,Maison,78.0,4.0,S,sols,85.0,7.16505,43.671462
277100,2020-121444,2020-09-24,1,Vente,91680.0,18.0,RUE DES TERRES NOIRES,1550,14100.0,14366,Lisieux,14,14366000AD0239,13.0,1,1.0,Maison,55.0,3.0,S,sols,135.0,0.232634,49.14118
1817179,2020-768393,2020-11-24,1,Vente,155000.0,30.0,RUE DE CHERELLES,0200,77140.0,77333,Nemours,77,77333000AE0242,28.0,1,1.0,Maison,97.0,5.0,J,jardins,192.0,2.70483,48.268294
2329551,2020-1001886,2020-09-04,1,Vente,219000.0,5.0,AV DE CHOISY,0370,94190.0,94078,Villeneuve-Saint-Georges,94,94078000AT0015,3.0,1,1.0,Maison,98.0,5.0,S,sols,59.0,2.444186,48.738608
1786330,2020-754588,2020-10-28,1,Vente,50000.0,5484.0,RTE DE GONFREVILLE CAILLOT,0260,76110.0,76141,Bréauté,76,761410000A0032,8.0,1,1.0,Maison,15.0,1.0,J,jardins,283.0,0.40565,49.634147
755788,2020-312491,2020-10-27,1,Vente,235000.0,11.0,IMP DES CAMELIAS,0038,34540.0,34023,Balaruc-les-Bains,34,34023000AP0331,63.0,1,1.0,Maison,66.0,4.0,S,sols,141.0,3.699989,43.447286
622058,2020-255200,2020-01-20,1,Vente,198800.0,34.0,RUE ALBERT CAMUS,0160,31270.0,31588,Villeneuve-Tolosane,31,31588000AL0024,14.0,1,1.0,Maison,72.0,4.0,S,sols,216.0,1.342077,43.526977
